input_or_setting,surface,scenario,viewport,os_scaling,result,evidence
Keyboard,Map Studio creation,Wall via coordinate points; Finish; green passage; spawn/bombsite polygon; throw and landing; undo/redo; save and reload disposable project,1440x900,NOT_RECORDED,NOT_RUN,
Keyboard,Map Studio refinement,Find marking; edit numeric point; locked mark; invalid/blank/out-of-range; arrows/Home on canvas; recovery/save-blocked draft,1024x640,NOT_RECORDED,NOT_RUN,
Keyboard,Map Studio refinement,Find marking; edit numeric point; locked mark; invalid/blank/out-of-range; arrows/Home on canvas; recovery/save-blocked draft,1280x720,NOT_RECORDED,NOT_RUN,
Keyboard,Map Studio refinement,Find marking; edit numeric point; locked mark; invalid/blank/out-of-range; arrows/Home on canvas; recovery/save-blocked draft,1440x900,NOT_RECORDED,NOT_RUN,
Keyboard,Spatial Lab,Place actors A/B using coordinates; choose floor/surface; outside-surface error; run check; play/pause and step timeline,1024x640,NOT_RECORDED,NOT_RUN,
Keyboard,Spatial Lab,Place actors A/B using coordinates; choose floor/surface; outside-surface error; run check; play/pause and step timeline,1280x720,NOT_RECORDED,NOT_RUN,
Keyboard,Spatial Lab,Place actors A/B using coordinates; choose floor/surface; outside-surface error; run check; play/pause and step timeline,1440x900,NOT_RECORDED,NOT_RUN,
Display,Reduced motion,OS on/off and app on/off; enable during active confetti; radar smoke/shot SVG; live replay; spatial timeline; celebrations; no loss of information,1024x640,NOT_RECORDED,NOT_RUN,
Display,Reduced motion,OS on/off and app on/off; enable during active confetti; radar smoke/shot SVG; live replay; spatial timeline; celebrations; no loss of information,1280x720,NOT_RECORDED,NOT_RUN,
Display,Reduced motion,OS on/off and app on/off; enable during active confetti; radar smoke/shot SVG; live replay; spatial timeline; celebrations; no loss of information,1440x900,NOT_RECORDED,NOT_RUN,
Display,Contrast modes,Restart directly into career with each saved mode; high contrast HSL tokens; dialogs/topbar/sticky panels; status labels/shapes independent of color,1024x640,NOT_RECORDED,NOT_RUN,
Display,Contrast modes,Restart directly into career with each saved mode; high contrast HSL tokens; dialogs/topbar/sticky panels; status labels/shapes independent of color,1280x720,NOT_RECORDED,NOT_RUN,
Display,Contrast modes,Restart directly into career with each saved mode; high contrast HSL tokens; dialogs/topbar/sticky panels; status labels/shapes independent of color,1440x900,NOT_RECORDED,NOT_RUN,
Display,Scaling,Three supported window viewports; 80/100/120 percent UI scale; declared 100/125/150 percent Windows scaling; long names and negative/large balances,1024x640,NOT_RECORDED,NOT_RUN,
Display,Scaling,Three supported window viewports; 80/100/120 percent UI scale; declared 100/125/150 percent Windows scaling; long names and negative/large balances,1280x720,NOT_RECORDED,NOT_RUN,
Display,Scaling,Three supported window viewports; 80/100/120 percent UI scale; declared 100/125/150 percent Windows scaling; long names and negative/large balances,1440x900,NOT_RECORDED,NOT_RUN,
Screen reader,Narration,NVDA core loop; correct control roles/names/values; error announcements; modal background exclusion; map coordinate workflow,1024x640,NOT_RECORDED,NOT_RUN,
Screen reader,Narration,NVDA core loop; correct control roles/names/values; error announcements; modal background exclusion; map coordinate workflow,1280x720,NOT_RECORDED,NOT_RUN,
Screen reader,Narration,NVDA core loop; correct control roles/names/values; error announcements; modal background exclusion; map coordinate workflow,1440x900,NOT_RECORDED,NOT_RUN,
English,Text and glyphs,English navigation/actions; accented and non-Latin player names; currency signs; missing glyphs; emoji/flag fallback; date boundary UTC,1024x640,NOT_RECORDED,NOT_RUN,
English,Text and glyphs,English navigation/actions; accented and non-Latin player names; currency signs; missing glyphs; emoji/flag fallback; date boundary UTC,1280x720,NOT_RECORDED,NOT_RUN,
English,Text and glyphs,English navigation/actions; accented and non-Latin player names; currency signs; missing glyphs; emoji/flag fallback; date boundary UTC,1440x900,NOT_RECORDED,NOT_RUN,
English,Text expansion,Use 35 percent longer fixture labels on 1024x640; preserve controls and line wrapping; no translation claims,1024x640,NOT_RECORDED,NOT_RUN,
English,Text expansion,Use 35 percent longer fixture labels on 1024x640; preserve controls and line wrapping; no translation claims,1280x720,NOT_RECORDED,NOT_RUN,
English,Text expansion,Use 35 percent longer fixture labels on 1024x640; preserve controls and line wrapping; no translation claims,1440x900,NOT_RECORDED,NOT_RUN,
Mouse,Pointer parity,"Existing drag/click map tools, signing actions, sliders and hover hints still work after keyboard additions",1024x640,NOT_RECORDED,NOT_RUN,
Mouse,Pointer parity,"Existing drag/click map tools, signing actions, sliders and hover hints still work after keyboard additions",1280x720,NOT_RECORDED,NOT_RUN,
Mouse,Pointer parity,"Existing drag/click map tools, signing actions, sliders and hover hints still work after keyboard additions",1440x900,NOT_RECORDED,NOT_RUN,
