route_or_overlay,viewport,windows_scaling,scenario,result,screenshot,interaction_log
/desktop,1024x640,NOT_RECORDED,"Inbox discoverability, actionable decisions, archived/expired items, keyboard navigation and duplicate shell behavior",NOT_RUN,,
/desktop,1280x720,NOT_RECORDED,"Inbox discoverability, actionable decisions, archived/expired items, keyboard navigation and duplicate shell behavior",NOT_RUN,,
/desktop,1440x900,NOT_RECORDED,"Inbox discoverability, actionable decisions, archived/expired items, keyboard navigation and duplicate shell behavior",NOT_RUN,,
/dev/map-builder,1024x640,NOT_RECORDED,"Developer-only route: gate, validated inputs, data ownership, import/export and no accidental career mutation",NOT_RUN,,
/dev/map-builder,1280x720,NOT_RECORDED,"Developer-only route: gate, validated inputs, data ownership, import/export and no accidental career mutation",NOT_RUN,,
/dev/map-builder,1440x900,NOT_RECORDED,"Developer-only route: gate, validated inputs, data ownership, import/export and no accidental career mutation",NOT_RUN,,
/dev,1024x640,NOT_RECORDED,Developer-only route: confirm intended production gate and no privileged actions exposed,NOT_RUN,,
/dev,1280x720,NOT_RECORDED,Developer-only route: confirm intended production gate and no privileged actions exposed,NOT_RUN,,
/dev,1440x900,NOT_RECORDED,Developer-only route: confirm intended production gate and no privileged actions exposed,NOT_RUN,,
/dev/radar-preview,1024x640,NOT_RECORDED,"Developer-only route: gate, fabricated data isolation, map/floor/identity controls and no career advancement",NOT_RUN,,
/dev/radar-preview,1280x720,NOT_RECORDED,"Developer-only route: gate, fabricated data isolation, map/floor/identity controls and no career advancement",NOT_RUN,,
/dev/radar-preview,1440x900,NOT_RECORDED,"Developer-only route: gate, fabricated data isolation, map/floor/identity controls and no career advancement",NOT_RUN,,
/equipment,1024x640,NOT_RECORDED,"Purchase/equip/replace, recurring upkeep, affordability, displayed effect and repeated clicks",NOT_RUN,,
/equipment,1280x720,NOT_RECORDED,"Purchase/equip/replace, recurring upkeep, affordability, displayed effect and repeated clicks",NOT_RUN,,
/equipment,1440x900,NOT_RECORDED,"Purchase/equip/replace, recurring upkeep, affordability, displayed effect and repeated clicks",NOT_RUN,,
/finances,1024x640,NOT_RECORDED,"Ledger reconciliation, forecasts/runway, one-off costs, signed deltas, empty history and distress",NOT_RUN,,
/finances,1280x720,NOT_RECORDED,"Ledger reconciliation, forecasts/runway, one-off costs, signed deltas, empty history and distress",NOT_RUN,,
/finances,1440x900,NOT_RECORDED,"Ledger reconciliation, forecasts/runway, one-off costs, signed deltas, empty history and distress",NOT_RUN,,
/fpl,1024x640,NOT_RECORDED,"Eligibility, participation, rewards, promotion/ownership, history, empty and already-completed states",NOT_RUN,,
/fpl,1280x720,NOT_RECORDED,"Eligibility, participation, rewards, promotion/ownership, history, empty and already-completed states",NOT_RUN,,
/fpl,1440x900,NOT_RECORDED,"Eligibility, participation, rewards, promotion/ownership, history, empty and already-completed states",NOT_RUN,,
/hall-of-fame,1024x640,NOT_RECORDED,"Inductions/records, legends if included, fictional identities, empty history and repeated load",NOT_RUN,,
/hall-of-fame,1280x720,NOT_RECORDED,"Inductions/records, legends if included, fictional identities, empty history and repeated load",NOT_RUN,,
/hall-of-fame,1440x900,NOT_RECORDED,"Inductions/records, legends if included, fictional identities, empty history and repeated load",NOT_RUN,,
/load-game,1024x640,NOT_RECORDED,"Older versions, missing/corrupt primary, backup recovery, delete scope, failed disk write and restart",NOT_RUN,,
/load-game,1280x720,NOT_RECORDED,"Older versions, missing/corrupt primary, backup recovery, delete scope, failed disk write and restart",NOT_RUN,,
/load-game,1440x900,NOT_RECORDED,"Older versions, missing/corrupt primary, backup recovery, delete scope, failed disk write and restart",NOT_RUN,,
/main-menu,1024x640,NOT_RECORDED,"New/continue/load/settings flows, no-save state, unavailable save, menu audio and keyboard focus",NOT_RUN,,
/main-menu,1280x720,NOT_RECORDED,"New/continue/load/settings flows, no-save state, unavailable save, menu audio and keyboard focus",NOT_RUN,,
/main-menu,1440x900,NOT_RECORDED,"New/continue/load/settings flows, no-save state, unavailable save, menu audio and keyboard focus",NOT_RUN,,
/map-editor/lab,1024x640,NOT_RECORDED,"Reference registration, overlapping floors, routes/rays/traversal, saved settings, diagnostics, worker failure and silence",NOT_RUN,,
/map-editor/lab,1280x720,NOT_RECORDED,"Reference registration, overlapping floors, routes/rays/traversal, saved settings, diagnostics, worker failure and silence",NOT_RUN,,
/map-editor/lab,1440x900,NOT_RECORDED,"Reference registration, overlapping floors, routes/rays/traversal, saved settings, diagnostics, worker failure and silence",NOT_RUN,,
/map-editor,1024x640,NOT_RECORDED,"142-mark draft safety, site/spawn naming, geometry/utility tools, undo, import/export, keyboard alternatives and silence",NOT_RUN,,
/map-editor,1280x720,NOT_RECORDED,"142-mark draft safety, site/spawn naming, geometry/utility tools, undo, import/export, keyboard alternatives and silence",NOT_RUN,,
/map-editor,1440x900,NOT_RECORDED,"142-mark draft safety, site/spawn naming, geometry/utility tools, undo, import/export, keyboard alternatives and silence",NOT_RUN,,
/match/[id]/live,1024x640,NOT_RECORDED,"Physical event stream, floors/visibility, interventions, pause/speed/skip/resume, one result commit and performance",NOT_RUN,,
/match/[id]/live,1280x720,NOT_RECORDED,"Physical event stream, floors/visibility, interventions, pause/speed/skip/resume, one result commit and performance",NOT_RUN,,
/match/[id]/live,1440x900,NOT_RECORDED,"Physical event stream, floors/visibility, interventions, pause/speed/skip/resume, one result commit and performance",NOT_RUN,,
/match/[id]/result,1024x640,NOT_RECORDED,"Map/score/stat agreement, unique rewards, explanatory analysis, next action and reload idempotency",NOT_RUN,,
/match/[id]/result,1280x720,NOT_RECORDED,"Map/score/stat agreement, unique rewards, explanatory analysis, next action and reload idempotency",NOT_RUN,,
/match/[id]/result,1440x900,NOT_RECORDED,"Map/score/stat agreement, unique rewards, explanatory analysis, next action and reload idempotency",NOT_RUN,,
/match/[id]/tactics,1024x640,NOT_RECORDED,"Valid roster/roles, tactic persistence, budget constraints, map setup, stale fixture and back/resume",NOT_RUN,,
/match/[id]/tactics,1280x720,NOT_RECORDED,"Valid roster/roles, tactic persistence, budget constraints, map setup, stale fixture and back/resume",NOT_RUN,,
/match/[id]/tactics,1440x900,NOT_RECORDED,"Valid roster/roles, tactic persistence, budget constraints, map setup, stale fixture and back/resume",NOT_RUN,,
/match/[id]/veto,1024x640,NOT_RECORDED,"Turn ownership, ban/pick order, BO1/3/5, canonical map IDs and live/instant/result agreement",NOT_RUN,,
/match/[id]/veto,1280x720,NOT_RECORDED,"Turn ownership, ban/pick order, BO1/3/5, canonical map IDs and live/instant/result agreement",NOT_RUN,,
/match/[id]/veto,1440x900,NOT_RECORDED,"Turn ownership, ban/pick order, BO1/3/5, canonical map IDs and live/instant/result agreement",NOT_RUN,,
/new-game/create-team,1024x640,NOT_RECORDED,"Name/identity validation, roster/budget constraints, logo failure, back navigation and save",NOT_RUN,,
/new-game/create-team,1280x720,NOT_RECORDED,"Name/identity validation, roster/budget constraints, logo failure, back navigation and save",NOT_RUN,,
/new-game/create-team,1440x900,NOT_RECORDED,"Name/identity validation, roster/budget constraints, logo failure, back navigation and save",NOT_RUN,,
/new-game,1024x640,NOT_RECORDED,"Valid manager/team eligibility, locked choices, cancellation, duplicate submit and initial save",NOT_RUN,,
/new-game,1280x720,NOT_RECORDED,"Valid manager/team eligibility, locked choices, cancellation, duplicate submit and initial save",NOT_RUN,,
/new-game,1440x900,NOT_RECORDED,"Valid manager/team eligibility, locked choices, cancellation, duplicate submit and initial save",NOT_RUN,,
/,1024x640,NOT_RECORDED,"Overview priorities, next day/week, truthful cash and fixture data, loading locks, failed save recovery",NOT_RUN,,
/,1280x720,NOT_RECORDED,"Overview priorities, next day/week, truthful cash and fixture data, loading locks, failed save recovery",NOT_RUN,,
/,1440x900,NOT_RECORDED,"Overview priorities, next day/week, truthful cash and fixture data, loading locks, failed save recovery",NOT_RUN,,
/player/[id],1024x640,NOT_RECORDED,"Revealed versus hidden attributes, contracts, development/history, stale/missing player and return context",NOT_RUN,,
/player/[id],1280x720,NOT_RECORDED,"Revealed versus hidden attributes, contracts, development/history, stale/missing player and return context",NOT_RUN,,
/player/[id],1440x900,NOT_RECORDED,"Revealed versus hidden attributes, contracts, development/history, stale/missing player and return context",NOT_RUN,,
/rankings,1024x640,NOT_RECORDED,"One result source, tie ordering, season resets, qualification and player/club history links",NOT_RUN,,
/rankings,1280x720,NOT_RECORDED,"One result source, tie ordering, season resets, qualification and player/club history links",NOT_RUN,,
/rankings,1440x900,NOT_RECORDED,"One result source, tie ordering, season resets, qualification and player/club history links",NOT_RUN,,
/schedule,1024x640,NOT_RECORDED,"Day/week consistency, overlapping activities, due fixtures, year rollover and completion links",NOT_RUN,,
/schedule,1280x720,NOT_RECORDED,"Day/week consistency, overlapping activities, due fixtures, year rollover and completion links",NOT_RUN,,
/schedule,1440x900,NOT_RECORDED,"Day/week consistency, overlapping activities, due fixtures, year rollover and completion links",NOT_RUN,,
/schedule/staff-meeting,1024x640,NOT_RECORDED,"Availability, cost/timing, choice consequences, cancel/repeat and saved outcome",NOT_RUN,,
/schedule/staff-meeting,1280x720,NOT_RECORDED,"Availability, cost/timing, choice consequences, cancel/repeat and saved outcome",NOT_RUN,,
/schedule/staff-meeting,1440x900,NOT_RECORDED,"Availability, cost/timing, choice consequences, cancel/repeat and saved outcome",NOT_RUN,,
/scouting,1024x640,NOT_RECORDED,"Mission budget/timing, uncertainty, results, ownership, repeated actions and no-eligible-player state",NOT_RUN,,
/scouting,1280x720,NOT_RECORDED,"Mission budget/timing, uncertainty, results, ownership, repeated actions and no-eligible-player state",NOT_RUN,,
/scouting,1440x900,NOT_RECORDED,"Mission budget/timing, uncertainty, results, ownership, repeated actions and no-eligible-player state",NOT_RUN,,
/settings/community-import,1024x640,NOT_RECORDED,"Preview, schema/size/path validation, attribution, backup, rollback and incompatible/invalid content",NOT_RUN,,
/settings/community-import,1280x720,NOT_RECORDED,"Preview, schema/size/path validation, attribution, backup, rollback and incompatible/invalid content",NOT_RUN,,
/settings/community-import,1440x900,NOT_RECORDED,"Preview, schema/size/path validation, attribution, backup, rollback and incompatible/invalid content",NOT_RUN,,
/settings,1024x640,NOT_RECORDED,"Preference consistency, mute/scale/motion, reset scope, fullscreen and restart persistence",NOT_RUN,,
/settings,1280x720,NOT_RECORDED,"Preference consistency, mute/scale/motion, reset scope, fullscreen and restart persistence",NOT_RUN,,
/settings,1440x900,NOT_RECORDED,"Preference consistency, mute/scale/motion, reset scope, fullscreen and restart persistence",NOT_RUN,,
/sponsorships,1024x640,NOT_RECORDED,"Offer conditions, forecast versus earned revenue, accept/decline/expiry and duplicate payouts",NOT_RUN,,
/sponsorships,1280x720,NOT_RECORDED,"Offer conditions, forecast versus earned revenue, accept/decline/expiry and duplicate payouts",NOT_RUN,,
/sponsorships,1440x900,NOT_RECORDED,"Offer conditions, forecast versus earned revenue, accept/decline/expiry and duplicate payouts",NOT_RUN,,
/squad,1024x640,NOT_RECORDED,"Role/roster validation, bench/lineup changes, ratings agreement, unavailable players and keyboard table actions",NOT_RUN,,
/squad,1280x720,NOT_RECORDED,"Role/roster validation, bench/lineup changes, ratings agreement, unavailable players and keyboard table actions",NOT_RUN,,
/squad,1440x900,NOT_RECORDED,"Role/roster validation, bench/lineup changes, ratings agreement, unavailable players and keyboard table actions",NOT_RUN,,
/staff,1024x640,NOT_RECORDED,"Hire/renew/fire, wage commitments, role limits, actual bonuses, missing candidates and reload",NOT_RUN,,
/staff,1280x720,NOT_RECORDED,"Hire/renew/fire, wage commitments, role limits, actual bonuses, missing candidates and reload",NOT_RUN,,
/staff,1440x900,NOT_RECORDED,"Hire/renew/fire, wage commitments, role limits, actual bonuses, missing candidates and reload",NOT_RUN,,
/stats,1024x640,NOT_RECORDED,"Filters, totals versus per-map/per-season values, missing data, sample sizes and history consistency",NOT_RUN,,
/stats,1280x720,NOT_RECORDED,"Filters, totals versus per-map/per-season values, missing data, sample sizes and history consistency",NOT_RUN,,
/stats,1440x900,NOT_RECORDED,"Filters, totals versus per-map/per-season values, missing data, sample sizes and history consistency",NOT_RUN,,
/tournaments/[id],1024x640,NOT_RECORDED,"Brackets/byes/tiebreaks, series progression, final rewards, missing tournament and historical consistency",NOT_RUN,,
/tournaments/[id],1280x720,NOT_RECORDED,"Brackets/byes/tiebreaks, series progression, final rewards, missing tournament and historical consistency",NOT_RUN,,
/tournaments/[id],1440x900,NOT_RECORDED,"Brackets/byes/tiebreaks, series progression, final rewards, missing tournament and historical consistency",NOT_RUN,,
/tournaments,1024x640,NOT_RECORDED,"Eligibility, qualification, field sizes/formats, active/completed/empty filters and next action",NOT_RUN,,
/tournaments,1280x720,NOT_RECORDED,"Eligibility, qualification, field sizes/formats, active/completed/empty filters and next action",NOT_RUN,,
/tournaments,1440x900,NOT_RECORDED,"Eligibility, qualification, field sizes/formats, active/completed/empty filters and next action",NOT_RUN,,
/training,1024x640,NOT_RECORDED,"Truthful slot capacity, schedule conflicts, fatigue/recovery, projections, completion and narrow layout",NOT_RUN,,
/training,1280x720,NOT_RECORDED,"Truthful slot capacity, schedule conflicts, fatigue/recovery, projections, completion and narrow layout",NOT_RUN,,
/training,1440x900,NOT_RECORDED,"Truthful slot capacity, schedule conflicts, fatigue/recovery, projections, completion and narrow layout",NOT_RUN,,
/transfers,1024x640,NOT_RECORDED,"Scout/compare/offer/negotiate/sign, expiry, affordability, stale offers, cancellation and reload",NOT_RUN,,
/transfers,1280x720,NOT_RECORDED,"Scout/compare/offer/negotiate/sign, expiry, affordability, stale offers, cancellation and reload",NOT_RUN,,
/transfers,1440x900,NOT_RECORDED,"Scout/compare/offer/negotiate/sign, expiry, affordability, stale offers, cancellation and reload",NOT_RUN,,
/trophies,1024x640,NOT_RECORDED,"Award exactly once, correct club/season, zero-trophy state, identity assets and historical persistence",NOT_RUN,,
/trophies,1280x720,NOT_RECORDED,"Award exactly once, correct club/season, zero-trophy state, identity assets and historical persistence",NOT_RUN,,
/trophies,1440x900,NOT_RECORDED,"Award exactly once, correct club/season, zero-trophy state, identity assets and historical persistence",NOT_RUN,,
player negotiation,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
player negotiation,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
player negotiation,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
staff negotiation,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
staff negotiation,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
staff negotiation,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
settings,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
settings,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
settings,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
keyboard shortcuts,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
keyboard shortcuts,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
keyboard shortcuts,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
season recap,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
season recap,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
season recap,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
roster builder,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
roster builder,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
roster builder,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
legend selection,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
legend selection,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
legend selection,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
tournament details,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
tournament details,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
tournament details,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
match timeout and tactics,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
match timeout and tactics,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
match timeout and tactics,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
map project recovery,1024x640,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
map project recovery,1280x720,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
map project recovery,1440x900,NOT_RECORDED,"Long content, required actions, keyboard focus, Escape, focus return, loading, invalid state",NOT_RUN,,
